리뷰ID,작성일,채널,상품코드,상품명,사이즈,평점,리뷰유형,부정키워드,리뷰내용
RV00093,2026-06-12,네이버 브랜드스토어,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,5,포토리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00094,2026-06-12,네이버 브랜드스토어,SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,SS,4,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00095,2026-06-12,네이버 브랜드스토어,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,4,일반리뷰,,생각보다 두툼하고 좋아요
RV00096,2026-06-12,네이버 브랜드스토어,SB-M-EVR-Q,이브닝 리버서블 매트리스,Q,4,일반리뷰,,생각보다 두툼하고 좋아요
RV00097,2026-06-12,쿠팡 로켓,SB-MO-MBL-SS,모션 밸런스드 매트리스,SS,4,일반리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00098,2026-06-12,네이버 브랜드스토어,SB-A-DPM,딥뮤트 수면안대,단일,4,일반리뷰,,남편도 저도 잘 자요
RV00099,2026-06-12,자사몰,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,5,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00100,2026-06-12,자사몰,SB-M-EVR-Q,이브닝 리버서블 매트리스,Q,1,일반리뷰,설치,설치 후 정리를 안 해주고 가셨습니다
RV00101,2026-06-12,네이버 브랜드스토어,SB-P-CLL,클라우드 LOW 경추 베개,단일,2,일반리뷰,단단함,생각보다 너무 딱딱해요
RV00102,2026-06-13,네이버 브랜드스토어,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,4,포토리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00103,2026-06-13,네이버 브랜드스토어,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,5,일반리뷰,,생각보다 두툼하고 좋아요
RV00104,2026-06-13,네이버 브랜드스토어,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00105,2026-06-13,네이버 브랜드스토어,SB-T-GRB-SS,그라운드 밸런스 토퍼 매트리스,SS,5,일반리뷰,,가격 대비 만족도 높습니다
RV00106,2026-06-13,오늘의집,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,일반리뷰,커버,커버 지퍼가 뻑뻑합니다
RV00107,2026-06-13,오늘의집,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,2,포토리뷰,설치,설치 후 정리를 안 해주고 가셨습니다
RV00108,2026-06-13,네이버 브랜드스토어,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,3,일반리뷰,단단함,미디엄이라고 했는데 하드에 가깝습니다
RV00109,2026-06-13,네이버 브랜드스토어,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,5,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00110,2026-06-13,네이버 브랜드스토어,SB-P-CLL,클라우드 LOW 경추 베개,단일,4,포토리뷰,,배송이랑 설치 다 깔끔했어요
RV00111,2026-06-14,오늘의집,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,5,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00112,2026-06-14,자사몰,SB-M-DFB-SS,딥플로우 밸런스 매트리스,SS,5,포토리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00113,2026-06-14,쿠팡 로켓,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,4,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00114,2026-06-14,오늘의집,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,5,일반리뷰,,가격 대비 만족도 높습니다
RV00115,2026-06-14,쿠팡 로켓,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,5,일반리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00116,2026-06-14,네이버 브랜드스토어,SB-M-ORG-Q,오리지널 매트리스 미디엄 소프트,Q,5,일반리뷰,,아이 방에 놨는데 만족합니다
RV00117,2026-06-14,네이버 브랜드스토어,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,5,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00118,2026-06-14,네이버 브랜드스토어,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,5,포토리뷰,,배송이랑 설치 다 깔끔했어요
RV00119,2026-06-15,자사몰,SB-F-AMD-K,아몬드 무헤드형 침대,K,5,일반리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00120,2026-06-15,오늘의집,SB-P-CLL,클라우드 LOW 경추 베개,단일,5,일반리뷰,,가격 대비 만족도 높습니다
RV00121,2026-06-15,네이버 브랜드스토어,SB-P-CLL,클라우드 LOW 경추 베개,단일,5,포토리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00122,2026-06-15,네이버 브랜드스토어,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,4,일반리뷰,,가격 대비 만족도 높습니다
RV00123,2026-06-15,쿠팡 로켓,SB-A-DPM,딥뮤트 수면안대,단일,4,일반리뷰,,설치기사님 친절하셨습니다
RV00124,2026-06-15,네이버 브랜드스토어,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,5,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00125,2026-06-15,쿠팡 로켓,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,4,일반리뷰,,아이 방에 놨는데 만족합니다
RV00126,2026-06-15,쿠팡 로켓,SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,SS,5,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00127,2026-06-15,자사몰,SB-A-DPM,딥뮤트 수면안대,단일,5,일반리뷰,,설치기사님 친절하셨습니다
RV00128,2026-06-15,오늘의집,SB-P-CLL,클라우드 LOW 경추 베개,단일,4,일반리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00129,2026-06-16,네이버 브랜드스토어,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,4,포토리뷰,,남편도 저도 잘 자요
RV00130,2026-06-16,자사몰,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,4,포토리뷰,,아이 방에 놨는데 만족합니다
RV00131,2026-06-16,네이버 브랜드스토어,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,4,일반리뷰,,남편도 저도 잘 자요
RV00132,2026-06-16,네이버 브랜드스토어,SB-M-ORG-SS,오리지널 매트리스 미디엄 소프트,SS,5,일반리뷰,,설치기사님 친절하셨습니다
RV00133,2026-06-16,오늘의집,SB-P-CLB,클라우드 버디 베개,단일,5,일반리뷰,,가격 대비 만족도 높습니다
RV00134,2026-06-16,네이버 브랜드스토어,SB-M-EVS-Q,이브닝 스타릿 매트리스,Q,5,일반리뷰,,생각보다 두툼하고 좋아요
RV00135,2026-06-17,네이버 브랜드스토어,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,5,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00136,2026-06-17,네이버 브랜드스토어,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,4,일반리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00137,2026-06-17,네이버 브랜드스토어,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,5,일반리뷰,,생각보다 두툼하고 좋아요
RV00138,2026-06-17,자사몰,SB-P-CLL,클라우드 LOW 경추 베개,단일,5,포토리뷰,,남편도 저도 잘 자요
RV00139,2026-06-17,네이버 브랜드스토어,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,4,일반리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00140,2026-06-17,네이버 브랜드스토어,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,5,일반리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00141,2026-06-17,오늘의집,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,5,포토리뷰,,배송이랑 설치 다 깔끔했어요
RV00142,2026-06-17,네이버 브랜드스토어,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,3,일반리뷰,설치,설치 후 정리를 안 해주고 가셨습니다
RV00143,2026-06-17,자사몰,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,5,일반리뷰,,라이브 보고 샀는데 후회 없어요
RV00144,2026-06-17,오늘의집,SB-P-CLL,클라우드 LOW 경추 베개,단일,4,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00145,2026-06-17,네이버 브랜드스토어,SB-P-CLB,클라우드 버디 베개,단일,3,일반리뷰,냄새,개봉하고 나서 화학약품 냄새가 심했습니다
RV00146,2026-06-18,네이버 브랜드스토어,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,5,일반리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00147,2026-06-18,쿠팡 로켓,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,5,일반리뷰,,아이 방에 놨는데 만족합니다
RV00148,2026-06-18,쿠팡 로켓,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,5,일반리뷰,,생각보다 두툼하고 좋아요
RV00149,2026-06-18,네이버 브랜드스토어,SB-M-MFM-Q,미드나잇 풀문 매트리스,Q,4,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00150,2026-06-18,네이버 브랜드스토어,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,5,일반리뷰,,아이 방에 놨는데 만족합니다
RV00151,2026-06-18,오늘의집,SB-F-AMD-KK,아몬드 무헤드형 침대,KK,5,일반리뷰,,통기성 좋아서 여름에도 안 덥네요
RV00152,2026-06-18,네이버 브랜드스토어,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,4,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00153,2026-06-18,네이버 브랜드스토어,SB-P-CLL,클라우드 LOW 경추 베개,단일,5,포토리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00154,2026-06-18,네이버 브랜드스토어,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,5,일반리뷰,,쿠폰까지 받아서 잘 샀어요
RV00155,2026-06-18,네이버 브랜드스토어,SB-M-ORG-Q,오리지널 매트리스 미디엄 소프트,Q,5,포토리뷰,,생각보다 두툼하고 좋아요
RV00156,2026-06-18,자사몰,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,5,포토리뷰,,포장 뜯을 때 냄새 거의 없었어요
RV00157,2026-06-19,네이버 브랜드스토어,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,2,일반리뷰,배송지연,배송이 예정일보다 일주일 늦었어요
RV00158,2026-06-19,네이버 브랜드스토어,SB-T-GRB-SS,그라운드 밸런스 토퍼 매트리스,SS,4,포토리뷰,,허리가 안 아파요 진짜 잘 삽니다
RV00159,2026-06-19,오늘의집,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,5,포토리뷰,,매장에서 누워보고 샀는데 그대로예요
RV00160,2026-06-19,네이버 브랜드스토어,SB-M-ORG-Q,오리지널 매트리스 미디엄 소프트,Q,4,일반리뷰,,남편도 저도 잘 자요
RV00161,2026-06-19,쿠팡 로켓,SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,Q,5,포토리뷰,,토퍼만 바꿨는데 확실히 다르네요
RV00162,2026-06-19,자사몰,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,5,포토리뷰,,쿠폰까지 받아서 잘 샀어요
RV00163,2026-06-20,네이버 브랜드스토어,SB-P-CLL,클라우드 LOW 경추 베개,단일,2,포토리뷰,단단함,생각보다 너무 딱딱해요
RV00164,2026-06-20,네이버 브랜드스토어,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,4,일반리뷰,,배송이랑 설치 다 깔끔했어요
RV00165,2026-06-20,네이버 브랜드스토어,SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,SS,5,일반리뷰,,가격 대비 만족도 높습니다
