주문번호,주문일,주문시간,채널,매장,상품코드,상품명,사이즈,수량,정상가합계,할인액,실결제금액,주문상태,배송유형,배송지역,고객유형,프로모션코드
NV-260602-0001,2026-06-02,19:07,네이버 브랜드스토어,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,249700,0,249700,설치완료,택배(안성1),부산,신규,
SG-260602-0002,2026-06-02,18:44,SSG닷컴,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,252300,0,252300,배송완료,택배(안성1),강원,신규,
HM-260602-0001,2026-06-02,20:14,자사몰,,SB-M-EVS-Q,이브닝 스타릿 매트리스,Q,1,706000,0,706000,배송완료,설치(용인 설치1),광주,재구매,
HM-260602-0001,2026-06-02,20:14,자사몰,,SB-A-DPM,딥뮤트 수면안대,단일,1,31200,0,31200,배송완료,택배(안성1),광주,재구매,
NV-260602-0002,2026-06-02,12:33,네이버 브랜드스토어,,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,53600,0,53600,반품완료,택배(안성1),대전,신규,
NV-260602-0002,2026-06-02,12:33,네이버 브랜드스토어,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,532500,0,532500,반품완료,택배(안성1),대전,신규,
NV-260602-0002,2026-06-02,12:33,네이버 브랜드스토어,,SB-M-EVR-Q,이브닝 리버서블 매트리스,Q,1,405500,0,405500,반품완료,설치(용인 설치1),대전,신규,
CP-260602-0002,2026-06-02,17:38,쿠팡 로켓,,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,1,244700,0,244700,설치완료,택배(안성1),서울,신규,
NV-260602-0003,2026-06-02,15:23,네이버 브랜드스토어,,SB-MO-EVM-SS,이브닝 모션 매트리스,SS,1,1039800,0,1039800,배송완료,설치(용인 설치1),울산,재구매,
CJ-260602-0001,2026-06-02,09:09,CJ온스타일,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,291300,0,291300,배송완료,택배(안성1),부산,신규,
CJ-260602-0001,2026-06-02,09:09,CJ온스타일,,SB-T-GRB-SS,그라운드 밸런스 토퍼 매트리스,SS,1,501100,0,501100,배송완료,택배(안성1),부산,신규,
HM-260602-0002,2026-06-02,11:13,자사몰,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,2,606800,0,606800,설치완료,택배(안성1),서울,재구매,
HM-260602-0002,2026-06-02,11:13,자사몰,,SB-P-CLB,클라우드 버디 베개,단일,1,63200,0,63200,설치완료,택배(안성1),서울,재구매,
HM-260603-0001,2026-06-03,22:51,자사몰,,SB-P-CLB,클라우드 버디 베개,단일,1,63200,0,63200,취소,택배(안성1),인천,재구매,
NV-260603-0001,2026-06-03,08:50,네이버 브랜드스토어,,SB-M-ORG-SS,오리지널 매트리스 미디엄 소프트,SS,1,432600,0,432600,배송완료,설치(용인 설치1),경기,신규,
CP-260603-0001,2026-06-03,10:54,쿠팡 로켓,,SB-M-ORG-Q,오리지널 매트리스 미디엄 소프트,Q,1,451200,0,451200,배송완료,설치(용인 설치1),광주,재구매,
OH-260603-0001,2026-06-03,06:27,오늘의집,,SB-A-DPM,딥뮤트 수면안대,단일,2,58000,0,58000,배송완료,택배(안성1),경기,신규,
HM-260603-0002,2026-06-03,13:34,자사몰,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,257400,0,257400,배송완료,택배(안성1),광주,신규,
ST-260603-0001,2026-06-03,20:37,직영매장,용산,SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,Q,2,619000,0,619000,배송완료,설치(용인 설치1),대구,재구매,
ST-260603-0002,2026-06-03,19:02,직영매장,슬로우나잇 논현,SB-T-MAX-Q,맥시멈 토퍼 매트리스,Q,1,576400,0,576400,배송중,설치(용인 설치1),경남,신규,
CJ-260603-0001,2026-06-03,09:06,CJ온스타일,,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,1,247300,0,247300,배송중,택배(안성1),서울,신규,
HM-260603-0003,2026-06-03,16:03,자사몰,,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,254200,0,254200,배송완료,택배(안성1),인천,재구매,
CJ-260603-0002,2026-06-03,16:46,CJ온스타일,,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,1,293800,0,293800,배송완료,택배(안성1),강원,신규,
CJ-260603-0002,2026-06-03,16:46,CJ온스타일,,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,1,209700,0,209700,배송완료,택배(안성1),강원,신규,
CJ-260603-0002,2026-06-03,16:46,CJ온스타일,,SB-M-ORG-SS,오리지널 매트리스 미디엄 소프트,SS,1,428200,0,428200,배송완료,설치(용인 설치1),강원,신규,
ST-260603-0003,2026-06-03,09:26,직영매장,슬로우나잇 스타필드 수원,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,266900,0,266900,배송완료,설치(용인 설치1),서울,재구매,
ST-260604-0001,2026-06-04,07:43,직영매장,대전둔산,SB-P-CLB,클라우드 버디 베개,단일,1,66400,0,66400,배송완료,매장수령,경기,신규,
NV-260604-0001,2026-06-04,23:45,네이버 브랜드스토어,,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,2,493200,0,493200,배송완료,택배(안성1),경기,신규,
NV-260604-0002,2026-06-04,13:22,네이버 브랜드스토어,,SB-A-DPM,딥뮤트 수면안대,단일,1,30300,0,30300,배송완료,택배(안성1),충남,신규,
OH-260604-0001,2026-06-04,11:36,오늘의집,,SB-P-CLB,클라우드 버디 베개,단일,2,117600,0,117600,설치완료,택배(안성1),경기,신규,
NV-260604-0003,2026-06-04,11:23,네이버 브랜드스토어,,SB-MO-MBL-Q,모션 밸런스드 매트리스,Q,1,1501600,0,1501600,배송완료,설치(용인 설치1),경기,재구매,
NV-260604-0004,2026-06-04,19:28,네이버 브랜드스토어,,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,1,296800,0,296800,설치완료,택배(안성1),인천,재구매,
NV-260604-0004,2026-06-04,19:28,네이버 브랜드스토어,,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,1,594400,0,594400,설치완료,설치(용인 설치1),인천,재구매,
NV-260604-0004,2026-06-04,19:28,네이버 브랜드스토어,,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,1,445200,0,445200,설치완료,택배(안성1),인천,재구매,
CP-260604-0001,2026-06-04,16:19,쿠팡 로켓,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,521600,0,521600,배송완료,택배(안성1),경기,신규,
OH-260604-0002,2026-06-04,11:04,오늘의집,,SB-P-CLL,클라우드 LOW 경추 베개,단일,2,102800,0,102800,배송완료,택배(안성1),서울,신규,
OH-260604-0003,2026-06-04,19:25,오늘의집,,SB-P-CLB,클라우드 버디 베개,단일,1,58800,0,58800,설치완료,택배(안성1),부산,신규,
OH-260604-0003,2026-06-04,19:25,오늘의집,,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,1,284600,0,284600,설치완료,택배(안성1),부산,신규,
CP-260604-0002,2026-06-04,21:08,쿠팡 로켓,,SB-A-DPM,딥뮤트 수면안대,단일,1,29600,0,29600,배송완료,택배(안성1),부산,신규,
CP-260604-0002,2026-06-04,21:08,쿠팡 로켓,,SB-MO-MBL-SS,모션 밸런스드 매트리스,SS,1,1353800,0,1353800,배송완료,설치(용인 설치1),부산,신규,
CP-260604-0002,2026-06-04,21:08,쿠팡 로켓,,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,1,372400,0,372400,배송완료,설치(용인 설치1),부산,신규,
CP-260604-0003,2026-06-04,23:05,쿠팡 로켓,,SB-T-MAX-SS,맥시멈 토퍼 매트리스,SS,1,436000,0,436000,교환완료,택배(안성1),경기,신규,
SG-260604-0001,2026-06-04,17:24,SSG닷컴,,SB-F-BAU-O,바우 키즈 원목 오픈형 데이베드 침대,SS,1,587000,0,587000,배송중,설치(용인 설치1),서울,재구매,
CP-260604-0004,2026-06-04,07:34,쿠팡 로켓,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,2,576400,0,576400,배송완료,택배(안성1),서울,신규,
SG-260605-0001,2026-06-05,10:52,SSG닷컴,,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,54100,0,54100,배송완료,택배(안성1),서울,신규,
CJ-260605-0001,2026-06-05,17:06,CJ온스타일,,SB-M-EVS-Q,이브닝 스타릿 매트리스,Q,1,677800,0,677800,배송완료,설치(용인 설치1),충남,재구매,
CJ-260605-0002,2026-06-05,13:58,CJ온스타일,,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,1,440600,0,440600,설치완료,택배(안성1),서울,신규,
CP-260605-0001,2026-06-05,08:18,쿠팡 로켓,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,288200,0,288200,배송완료,택배(안성1),서울,신규,
CP-260605-0001,2026-06-05,08:18,쿠팡 로켓,,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,1,555800,0,555800,배송완료,설치(용인 설치1),서울,신규,
CP-260605-0001,2026-06-05,08:18,쿠팡 로켓,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,521600,0,521600,배송완료,택배(안성1),서울,신규,
HM-260605-0001,2026-06-05,07:33,자사몰,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,257400,0,257400,반품완료,택배(안성1),대구,신규,
OH-260605-0001,2026-06-05,19:32,오늘의집,,SB-A-DPM,딥뮤트 수면안대,단일,1,29000,0,29000,배송완료,택배(안성1),광주,신규,
CP-260605-0002,2026-06-05,23:08,쿠팡 로켓,,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,1,372400,0,372400,설치완료,설치(용인 설치1),부산,신규,
OH-260605-0002,2026-06-05,15:39,오늘의집,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,510600,0,510600,배송완료,택배(안성1),서울,재구매,
NV-260605-0001,2026-06-05,16:42,네이버 브랜드스토어,,SB-M-DFB-SS,딥플로우 밸런스 매트리스,SS,1,498600,0,498600,설치완료,설치(용인 설치1),대구,신규,
NV-260605-0002,2026-06-05,16:53,네이버 브랜드스토어,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,294300,0,294300,반품완료,택배(안성1),서울,재구매,
NV-260605-0003,2026-06-05,19:33,네이버 브랜드스토어,,SB-T-GRB-SS,그라운드 밸런스 토퍼 매트리스,SS,1,506300,0,506300,설치완료,택배(안성1),인천,신규,
NV-260605-0003,2026-06-05,19:33,네이버 브랜드스토어,,SB-M-DFB-Q,딥플로우 밸런스 매트리스,Q,1,522200,0,522200,설치완료,설치(용인 설치1),인천,신규,
NV-260605-0004,2026-06-05,06:15,네이버 브랜드스토어,,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,246600,0,246600,배송완료,택배(안성1),대전,신규,
NV-260605-0004,2026-06-05,06:15,네이버 브랜드스토어,,SB-M-EVS-Q,이브닝 스타릿 매트리스,Q,1,684800,0,684800,배송완료,설치(용인 설치1),대전,신규,
NV-260605-0005,2026-06-05,19:02,네이버 브랜드스토어,,SB-M-ORG-SS,오리지널 매트리스 미디엄 소프트,SS,1,432600,0,432600,배송완료,설치(용인 설치1),서울,신규,
NV-260606-0001,2026-06-06,18:59,네이버 브랜드스토어,,SB-A-DPM,딥뮤트 수면안대,단일,1,30300,0,30300,배송완료,택배(안성1),서울,신규,
CP-260606-0001,2026-06-06,20:10,쿠팡 로켓,,SB-F-BAU-O,바우 키즈 원목 오픈형 데이베드 침대,SS,1,569000,0,569000,설치완료,설치(용인 설치1),경남,신규,
SG-260606-0001,2026-06-06,11:28,SSG닷컴,,SB-M-DFB-Q,딥플로우 밸런스 매트리스,Q,1,527600,0,527600,배송완료,설치(용인 설치1),서울,신규,
SG-260606-0001,2026-06-06,11:28,SSG닷컴,,SB-MO-EVM-SS,이브닝 모션 매트리스,SS,1,1050600,0,1050600,배송완료,설치(용인 설치1),서울,신규,
NV-260606-0002,2026-06-06,09:13,네이버 브랜드스토어,,SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,Q,1,286000,0,286000,설치완료,택배(안성1),광주,신규,
ST-260606-0001,2026-06-06,21:28,직영매장,슬로우나잇 스타필드 수원,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,1,321300,0,321300,설치완료,설치(용인 설치1),인천,재구매,
NV-260606-0003,2026-06-06,07:27,네이버 브랜드스토어,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,532500,0,532500,배송완료,택배(안성1),경기,신규,
NV-260606-0004,2026-06-06,06:52,네이버 브랜드스토어,,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,1,594400,0,594400,설치완료,설치(용인 설치1),인천,재구매,
NV-260606-0005,2026-06-06,16:50,네이버 브랜드스토어,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,249700,0,249700,배송완료,택배(안성1),경기,신규,
CP-260606-0002,2026-06-06,21:16,쿠팡 로켓,,SB-A-DPM,딥뮤트 수면안대,단일,1,29600,0,29600,배송완료,택배(안성1),서울,재구매,
NV-260606-0006,2026-06-06,19:33,네이버 브랜드스토어,,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,53600,0,53600,설치완료,택배(안성1),경기,신규,
ST-260606-0002,2026-06-06,21:40,직영매장,슬로우나잇 논현,SB-T-NMX-SS,더 뉴 맥시멈 토퍼 매트리스,SS,1,482000,0,482000,배송완료,설치(용인 설치1),경기,신규,
NV-260606-0007,2026-06-06,19:52,네이버 브랜드스토어,,SB-MO-EVM-Q,이브닝 모션 매트리스,Q,1,1131000,0,1131000,반품완료,설치(용인 설치1),서울,신규,
NV-260606-0008,2026-06-06,19:16,네이버 브랜드스토어,,SB-MO-EVM-SS,이브닝 모션 매트리스,SS,1,1039800,0,1039800,반품완료,설치(용인 설치1),서울,신규,
CP-260606-0003,2026-06-06,06:41,쿠팡 로켓,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,288200,0,288200,배송완료,택배(안성1),경기,신규,
CP-260606-0003,2026-06-06,06:41,쿠팡 로켓,,SB-M-ORG-SS,오리지널 매트리스 미디엄 소프트,SS,1,423700,0,423700,배송완료,설치(용인 설치1),경기,신규,
HM-260607-0001,2026-06-07,11:27,자사몰,,SB-F-BAU-G,바우 키즈 원목 가드형 데이베드 침대,SS,1,799000,0,799000,설치완료,설치(용인 설치1),경기,신규,
ST-260607-0001,2026-06-07,14:29,직영매장,대전둔산,SB-M-ORG-Q,오리지널 매트리스 미디엄 소프트,Q,1,498800,0,498800,배송완료,설치(용인 설치1),서울,신규,
OH-260607-0001,2026-06-07,20:26,오늘의집,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,282200,0,282200,배송완료,택배(안성1),서울,재구매,
OH-260607-0001,2026-06-07,20:26,오늘의집,,SB-F-AMD-K,아몬드 무헤드형 침대,K,1,864900,0,864900,배송완료,설치(용인 설치1),서울,재구매,
CP-260607-0001,2026-06-07,09:37,쿠팡 로켓,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,288200,0,288200,배송완료,택배(안성1),인천,신규,
ST-260607-0002,2026-06-07,09:32,직영매장,노원,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,58000,0,58000,배송완료,매장수령,경기,신규,
CJ-260607-0001,2026-06-07,15:09,CJ온스타일,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,247100,0,247100,설치완료,택배(안성1),부산,신규,
ST-260607-0003,2026-06-07,11:31,직영매장,슬로우나잇 논현,SB-M-MFM-K,미드나잇 풀문 매트리스,K,1,1073100,0,1073100,취소,설치(용인 설치1),경기,재구매,
NV-260607-0001,2026-06-07,16:18,네이버 브랜드스토어,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,532500,0,532500,반품완료,택배(안성1),부산,재구매,
NV-260607-0001,2026-06-07,16:18,네이버 브랜드스토어,,SB-A-DPM,딥뮤트 수면안대,단일,1,30300,0,30300,반품완료,택배(안성1),부산,재구매,
NV-260607-0002,2026-06-07,14:33,네이버 브랜드스토어,,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,1,296800,0,296800,배송중,택배(안성1),인천,신규,
CJ-260607-0002,2026-06-07,10:09,CJ온스타일,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,291300,0,291300,배송완료,택배(안성1),서울,신규,
OH-260607-0002,2026-06-07,10:42,오늘의집,,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,51400,0,51400,설치완료,택배(안성1),서울,재구매,
HM-260607-0002,2026-06-07,12:21,자사몰,,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,2,515200,0,515200,배송완료,택배(안성1),서울,신규,
ST-260607-0004,2026-06-07,15:05,직영매장,송파,SB-M-EVR-SS,이브닝 리버서블 매트리스,SS,1,411600,0,411600,배송완료,설치(용인 설치1),서울,신규,
CP-260607-0002,2026-06-07,09:37,쿠팡 로켓,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,288200,0,288200,배송완료,택배(안성1),대구,재구매,
CP-260607-0002,2026-06-07,09:37,쿠팡 로켓,,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,521600,0,521600,배송완료,택배(안성1),대구,재구매,
CP-260607-0002,2026-06-07,09:37,쿠팡 로켓,,SB-P-CLB,클라우드 버디 베개,단일,2,120000,0,120000,배송완료,택배(안성1),대구,재구매,
ST-260607-0005,2026-06-07,09:57,직영매장,용산,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,318600,0,318600,배송완료,설치(용인 설치1),서울,신규,
OH-260608-0001,2026-06-08,18:52,오늘의집,,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,51400,0,51400,교환완료,택배(안성1),광주,신규,
OH-260608-0002,2026-06-08,14:35,오늘의집,,SB-MO-MBL-Q,모션 밸런스드 매트리스,Q,1,1439600,0,1439600,배송중,설치(용인 설치1),경기,신규,
NV-260608-0001,2026-06-08,11:18,네이버 브랜드스토어,,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,246600,0,246600,배송완료,택배(안성1),광주,재구매,
NV-260608-0002,2026-06-08,20:21,네이버 브랜드스토어,,SB-F-AMD-KK,아몬드 무헤드형 침대,KK,1,950600,0,950600,배송완료,설치(용인 설치1),경기,신규,
NV-260608-0002,2026-06-08,20:21,네이버 브랜드스토어,,SB-T-ARB7-SS,올라운드 밸런스 토퍼 매트리스 7cm,SS,1,249900,0,249900,배송완료,택배(안성1),경기,신규,
NV-260608-0002,2026-06-08,20:21,네이버 브랜드스토어,,SB-M-DFB-SS,딥플로우 밸런스 매트리스,SS,1,498600,0,498600,배송완료,설치(용인 설치1),경기,신규,
ST-260608-0001,2026-06-08,08:18,직영매장,슬로우나잇 스타필드 수원,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,318600,0,318600,배송완료,설치(용인 설치1),경기,재구매,
CJ-260608-0001,2026-06-08,10:55,CJ온스타일,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,247100,0,247100,설치완료,택배(안성1),대전,재구매,
OH-260608-0003,2026-06-08,18:24,오늘의집,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,2,478800,0,478800,설치완료,택배(안성1),경기,재구매,
CP-260608-0001,2026-06-08,19:57,쿠팡 로켓,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,244500,63900,180600,배송완료,택배(안성1),대전,재구매,EX-2026-01
NV-260608-0003,2026-06-08,10:39,네이버 브랜드스토어,,SB-M-DFC-Q,딥플로우 컴포트 매트리스,Q,1,594400,0,594400,반품완료,설치(용인 설치1),광주,신규,
CJ-260608-0002,2026-06-08,21:26,CJ온스타일,,SB-T-ARB5-Q,올라운드 밸런스 토퍼 매트리스 5cm,Q,1,291300,0,291300,배송완료,택배(안성1),경남,재구매,
CJ-260608-0002,2026-06-08,21:26,CJ온스타일,,SB-T-ARB7-Q,올라운드 밸런스 토퍼 매트리스 7cm,Q,1,293800,0,293800,배송완료,택배(안성1),경남,재구매,
OH-260608-0004,2026-06-08,22:06,오늘의집,,SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,Q,1,274200,0,274200,배송완료,택배(안성1),인천,재구매,
NV-260609-0001,2026-06-09,11:39,네이버 브랜드스토어,,SB-T-ARC-SS,올라운드 컴포트 토퍼 매트리스,SS,1,211800,0,211800,반품완료,택배(안성1),인천,신규,
NV-260609-0002,2026-06-09,16:40,네이버 브랜드스토어,,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,1,567400,0,567400,배송완료,설치(용인 설치1),부산,재구매,
CP-260609-0001,2026-06-09,05:51,쿠팡 로켓,,SB-F-AMD-KK,아몬드 무헤드형 침대,KK,1,931000,0,931000,교환완료,설치(용인 설치1),경기,신규,
CP-260609-0001,2026-06-09,05:51,쿠팡 로켓,,SB-P-CLB,클라우드 버디 베개,단일,1,60000,0,60000,교환완료,택배(안성1),경기,신규,
CP-260609-0001,2026-06-09,05:51,쿠팡 로켓,,SB-P-CLL,클라우드 LOW 경추 베개,단일,1,52500,0,52500,교환완료,택배(안성1),경기,신규,
ST-260609-0001,2026-06-09,17:32,직영매장,슬로우나잇 논현,SB-T-NMX-Q,더 뉴 맥시멈 토퍼 매트리스,Q,1,576400,0,576400,배송중,설치(용인 설치1),서울,신규,
NV-260609-0003,2026-06-09,06:34,네이버 브랜드스토어,,SB-M-DFC-SS,딥플로우 컴포트 매트리스,SS,1,567400,0,567400,배송완료,설치(용인 설치1),강원,신규,
CP-260609-0002,2026-06-09,15:40,쿠팡 로켓,,SB-T-ARC-Q,올라운드 컴포트 토퍼 매트리스,Q,1,244500,0,244500,반품완료,택배(안성1),경기,신규,
NV-260609-0004,2026-06-09,09:44,네이버 브랜드스토어,,SB-T-ARCP-Q,올라운드 컴포트 플러스 토퍼 매트리스,Q,1,286000,0,286000,설치완료,택배(안성1),서울,재구매,
NV-260609-0004,2026-06-09,09:44,네이버 브랜드스토어,,SB-A-DPM,딥뮤트 수면안대,단일,1,30300,0,30300,설치완료,택배(안성1),서울,재구매,
CP-260609-0003,2026-06-09,12:42,쿠팡 로켓,,SB-T-ARB5-SS,올라운드 밸런스 토퍼 매트리스 5cm,SS,1,241500,0,241500,배송완료,택배(안성1),인천,재구매,
NV-260609-0005,2026-06-09,09:21,네이버 브랜드스토어,,SB-M-EVR-S,이브닝 리버서블 매트리스,S,1,349100,0,349100,설치완료,설치(용인 설치1),경기,신규,
