주문번호,일자,요일,시각,상품코드,상품명,카테고리,수량,단가,금액
PN-260801-058,2026-08-01,토,12:10,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-059,2026-08-01,토,15:05,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-060,2026-08-01,토,12:30,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260801-061,2026-08-01,토,16:49,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260801-062,2026-08-01,토,15:31,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-063,2026-08-01,토,15:02,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260801-063,2026-08-01,토,15:02,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260801-064,2026-08-01,토,15:43,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260801-065,2026-08-01,토,12:59,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260801-066,2026-08-01,토,13:26,PN-104,sol candle,리빙·프래그런스,2,23000,46000
PN-260801-067,2026-08-01,토,13:42,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-001,2026-08-02,일,18:47,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-002,2026-08-02,일,14:09,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260802-003,2026-08-02,일,13:42,PN-103,Fog cup blue S,글라스웨어,2,28000,56000
PN-260802-003,2026-08-02,일,13:42,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260802-004,2026-08-02,일,12:24,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260802-005,2026-08-02,일,17:42,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-005,2026-08-02,일,17:42,PN-107,pattern mini glass,글라스웨어,2,15000,30000
PN-260802-006,2026-08-02,일,18:05,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-007,2026-08-02,일,12:53,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-007,2026-08-02,일,12:53,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-008,2026-08-02,일,13:19,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-009,2026-08-02,일,12:53,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-010,2026-08-02,일,17:05,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260802-011,2026-08-02,일,18:17,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-012,2026-08-02,일,15:03,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260802-013,2026-08-02,일,18:42,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260802-014,2026-08-02,일,13:32,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260802-015,2026-08-02,일,13:13,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260802-016,2026-08-02,일,18:17,PN-104,sol candle,리빙·프래그런스,2,23000,46000
PN-260802-017,2026-08-02,일,13:55,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-018,2026-08-02,일,17:57,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260802-019,2026-08-02,일,14:24,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-020,2026-08-02,일,16:24,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-021,2026-08-02,일,13:35,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-022,2026-08-02,일,14:22,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-023,2026-08-02,일,12:42,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260802-023,2026-08-02,일,12:42,PN-101,sol diffuser,리빙·프래그런스,2,46000,92000
PN-260802-024,2026-08-02,일,13:18,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-025,2026-08-02,일,15:07,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-026,2026-08-02,일,16:15,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-027,2026-08-02,일,13:04,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260802-028,2026-08-02,일,16:25,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260802-029,2026-08-02,일,14:49,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260802-030,2026-08-02,일,16:24,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260802-031,2026-08-02,일,16:32,PN-102,sol room-spray,리빙·프래그런스,2,28500,57000
PN-260802-031,2026-08-02,일,16:32,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-032,2026-08-02,일,18:32,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260802-033,2026-08-02,일,12:57,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260802-034,2026-08-02,일,17:52,PN-106,Lily bubble glass cup,글라스웨어,2,18500,37000
PN-260802-035,2026-08-02,일,12:30,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-035,2026-08-02,일,12:30,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260802-036,2026-08-02,일,14:55,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-036,2026-08-02,일,14:55,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-037,2026-08-02,일,17:29,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260802-037,2026-08-02,일,17:29,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-038,2026-08-02,일,17:03,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-038,2026-08-02,일,17:03,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-039,2026-08-02,일,18:31,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-040,2026-08-02,일,13:35,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-041,2026-08-02,일,13:32,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260802-042,2026-08-02,일,13:45,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-043,2026-08-02,일,14:52,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-044,2026-08-02,일,13:55,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-045,2026-08-02,일,15:21,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-045,2026-08-02,일,15:21,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260802-046,2026-08-02,일,13:10,PN-108,Bubble mini glass,글라스웨어,2,15000,30000
PN-260802-047,2026-08-02,일,13:30,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-047,2026-08-02,일,13:30,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260802-048,2026-08-02,일,15:14,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-048,2026-08-02,일,15:14,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-049,2026-08-02,일,13:50,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-050,2026-08-02,일,15:30,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260802-051,2026-08-02,일,16:01,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260802-051,2026-08-02,일,16:01,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260802-052,2026-08-02,일,14:52,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260802-053,2026-08-02,일,15:00,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-054,2026-08-02,일,13:11,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260802-055,2026-08-02,일,14:38,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260802-056,2026-08-02,일,13:04,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260802-057,2026-08-02,일,13:44,PN-101,sol diffuser,리빙·프래그런스,2,46000,92000
PN-260802-058,2026-08-02,일,18:44,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260802-058,2026-08-02,일,18:44,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260802-059,2026-08-02,일,17:40,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260802-060,2026-08-02,일,18:27,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260803-001,2026-08-03,월,17:07,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260803-002,2026-08-03,월,18:13,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260803-003,2026-08-03,월,18:29,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260803-004,2026-08-03,월,14:04,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260803-005,2026-08-03,월,18:16,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260803-005,2026-08-03,월,18:16,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260803-006,2026-08-03,월,12:44,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260803-006,2026-08-03,월,12:44,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260803-007,2026-08-03,월,12:50,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260803-008,2026-08-03,월,16:10,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260803-009,2026-08-03,월,12:25,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260803-009,2026-08-03,월,12:25,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260803-010,2026-08-03,월,16:29,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260803-011,2026-08-03,월,14:35,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260803-012,2026-08-03,월,14:27,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260803-013,2026-08-03,월,17:25,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260803-014,2026-08-03,월,18:02,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260803-015,2026-08-03,월,15:46,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260803-015,2026-08-03,월,15:46,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260803-016,2026-08-03,월,18:26,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260803-016,2026-08-03,월,18:26,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260803-017,2026-08-03,월,16:04,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260803-018,2026-08-03,월,18:18,PN-103,Fog cup blue S,글라스웨어,2,28000,56000
PN-260803-019,2026-08-03,월,13:57,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-001,2026-08-06,목,17:18,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-001,2026-08-06,목,17:18,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-002,2026-08-06,목,15:07,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-003,2026-08-06,목,12:38,PN-104,sol candle,리빙·프래그런스,2,23000,46000
PN-260806-004,2026-08-06,목,12:52,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260806-004,2026-08-06,목,12:52,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-005,2026-08-06,목,13:37,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-006,2026-08-06,목,15:25,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-007,2026-08-06,목,18:33,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-007,2026-08-06,목,18:33,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-008,2026-08-06,목,12:54,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-008,2026-08-06,목,12:54,PN-102,sol room-spray,리빙·프래그런스,2,28500,57000
PN-260806-009,2026-08-06,목,18:25,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-010,2026-08-06,목,13:46,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260806-010,2026-08-06,목,13:46,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-011,2026-08-06,목,12:48,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-012,2026-08-06,목,16:05,PN-103,Fog cup blue S,글라스웨어,2,28000,56000
PN-260806-013,2026-08-06,목,15:58,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260806-014,2026-08-06,목,13:27,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260806-015,2026-08-06,목,16:04,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-016,2026-08-06,목,17:57,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-017,2026-08-06,목,17:28,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-017,2026-08-06,목,17:28,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260806-018,2026-08-06,목,18:40,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260806-018,2026-08-06,목,18:40,PN-101,sol diffuser,리빙·프래그런스,2,46000,92000
PN-260806-019,2026-08-06,목,13:13,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-020,2026-08-06,목,12:24,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-020,2026-08-06,목,12:24,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-021,2026-08-06,목,13:41,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-022,2026-08-06,목,17:43,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-023,2026-08-06,목,16:33,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260806-023,2026-08-06,목,16:33,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260806-024,2026-08-06,목,16:36,PN-101,sol diffuser,리빙·프래그런스,2,46000,92000
PN-260806-025,2026-08-06,목,12:01,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-026,2026-08-06,목,14:34,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-027,2026-08-06,목,17:26,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-028,2026-08-06,목,17:44,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260806-028,2026-08-06,목,17:44,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-029,2026-08-06,목,15:36,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-030,2026-08-06,목,13:42,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-030,2026-08-06,목,13:42,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-031,2026-08-06,목,18:04,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260806-032,2026-08-06,목,16:16,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-033,2026-08-06,목,16:36,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-033,2026-08-06,목,16:36,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-034,2026-08-06,목,17:26,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260806-035,2026-08-06,목,13:02,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260806-036,2026-08-06,목,14:02,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-037,2026-08-06,목,12:24,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-038,2026-08-06,목,15:38,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-039,2026-08-06,목,18:27,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-039,2026-08-06,목,18:27,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-040,2026-08-06,목,13:14,PN-102,sol room-spray,리빙·프래그런스,1,28500,28500
PN-260806-041,2026-08-06,목,14:33,PN-108,Bubble mini glass,글라스웨어,2,15000,30000
PN-260806-042,2026-08-06,목,18:39,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260806-042,2026-08-06,목,18:39,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260806-043,2026-08-06,목,16:44,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-043,2026-08-06,목,16:44,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-044,2026-08-06,목,15:53,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-045,2026-08-06,목,15:58,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260806-045,2026-08-06,목,15:58,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-046,2026-08-06,목,15:16,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260806-047,2026-08-06,목,14:20,PN-105,pattern on-the-rocks glass,글라스웨어,2,18500,37000
PN-260806-048,2026-08-06,목,12:59,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260806-049,2026-08-06,목,17:07,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-049,2026-08-06,목,17:07,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260806-050,2026-08-06,목,13:11,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260806-051,2026-08-06,목,13:32,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-052,2026-08-06,목,17:32,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260806-052,2026-08-06,목,17:32,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260806-053,2026-08-06,목,13:01,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260807-001,2026-08-07,금,18:47,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260807-002,2026-08-07,금,12:02,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260807-003,2026-08-07,금,16:30,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260807-004,2026-08-07,금,17:00,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260807-005,2026-08-07,금,15:19,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260807-006,2026-08-07,금,12:20,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260807-007,2026-08-07,금,16:34,PN-103,Fog cup blue S,글라스웨어,1,28000,28000
PN-260807-008,2026-08-07,금,12:43,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260807-009,2026-08-07,금,18:39,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260807-010,2026-08-07,금,16:04,PN-104,sol candle,리빙·프래그런스,1,23000,23000
PN-260807-010,2026-08-07,금,16:04,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
PN-260807-011,2026-08-07,금,12:46,PN-108,Bubble mini glass,글라스웨어,2,15000,30000
PN-260807-012,2026-08-07,금,16:16,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260807-013,2026-08-07,금,16:38,PN-101,sol diffuser,리빙·프래그런스,1,46000,46000
PN-260807-014,2026-08-07,금,18:07,PN-106,Lily bubble glass cup,글라스웨어,1,18500,18500
PN-260807-015,2026-08-07,금,17:45,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260807-016,2026-08-07,금,18:35,PN-108,Bubble mini glass,글라스웨어,1,15000,15000
PN-260807-016,2026-08-07,금,18:35,PN-107,pattern mini glass,글라스웨어,1,15000,15000
PN-260807-017,2026-08-07,금,12:52,PN-105,pattern on-the-rocks glass,글라스웨어,1,18500,18500
