주문번호,일자,요일,시각,주문유형,상품코드,상품명,분류,수량,단가,금액
OTW-260801-026,2026-08-01,토,13:05,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-027,2026-08-01,토,13:08,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-027,2026-08-01,토,13:08,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-028,2026-08-01,토,13:11,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-028,2026-08-01,토,13:11,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,2,6500,13000
OTW-260801-029,2026-08-01,토,13:12,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-029,2026-08-01,토,13:12,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-029,2026-08-01,토,13:12,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-030,2026-08-01,토,13:16,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-030,2026-08-01,토,13:16,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-030,2026-08-01,토,13:16,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-031,2026-08-01,토,13:17,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-032,2026-08-01,토,13:22,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-032,2026-08-01,토,13:22,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-032,2026-08-01,토,13:22,포장,OTW-T01,옥수수 타르트,타르트,2,8500,17000
OTW-260801-033,2026-08-01,토,13:24,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-033,2026-08-01,토,13:24,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260801-034,2026-08-01,토,13:25,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-034,2026-08-01,토,13:25,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-035,2026-08-01,토,13:27,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-035,2026-08-01,토,13:27,포장,OTW-E04,피스타치오 에그타르트,에그타르트,1,5800,5800
OTW-260801-035,2026-08-01,토,13:27,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-036,2026-08-01,토,13:27,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-037,2026-08-01,토,13:28,포장,OTW-D01,옥수수 밀크티,음료,2,6500,13000
OTW-260801-037,2026-08-01,토,13:28,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-038,2026-08-01,토,13:37,매장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260801-039,2026-08-01,토,13:39,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-039,2026-08-01,토,13:39,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-040,2026-08-01,토,13:42,매장,OTW-T01,옥수수 타르트,타르트,2,8500,17000
OTW-260801-041,2026-08-01,토,13:47,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-042,2026-08-01,토,13:48,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,2,5200,10400
OTW-260801-042,2026-08-01,토,13:48,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-043,2026-08-01,토,13:49,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-044,2026-08-01,토,13:50,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-044,2026-08-01,토,13:50,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-045,2026-08-01,토,13:54,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-045,2026-08-01,토,13:54,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260801-046,2026-08-01,토,13:57,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,2,5200,10400
OTW-260801-046,2026-08-01,토,13:57,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-047,2026-08-01,토,13:58,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-047,2026-08-01,토,13:58,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-048,2026-08-01,토,13:59,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-048,2026-08-01,토,13:59,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260801-049,2026-08-01,토,14:06,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-049,2026-08-01,토,14:06,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-050,2026-08-01,토,14:08,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-051,2026-08-01,토,14:20,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-052,2026-08-01,토,14:30,포장,OTW-T03,말차 타르트,타르트,2,9100,18200
OTW-260801-053,2026-08-01,토,14:41,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260801-053,2026-08-01,토,14:41,포장,OTW-D01,옥수수 밀크티,음료,2,6500,13000
OTW-260801-053,2026-08-01,토,14:41,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260801-054,2026-08-01,토,14:43,매장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260801-055,2026-08-01,토,14:47,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,2,5200,10400
OTW-260801-056,2026-08-01,토,14:48,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-056,2026-08-01,토,14:48,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-057,2026-08-01,토,14:50,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260801-057,2026-08-01,토,14:50,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-058,2026-08-01,토,14:51,매장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-059,2026-08-01,토,14:53,포장,OTW-T01,옥수수 타르트,타르트,2,8500,17000
OTW-260801-060,2026-08-01,토,15:05,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-061,2026-08-01,토,15:08,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260801-061,2026-08-01,토,15:08,매장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-062,2026-08-01,토,15:11,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260801-062,2026-08-01,토,15:11,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260801-062,2026-08-01,토,15:11,포장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260801-063,2026-08-01,토,15:15,매장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260801-063,2026-08-01,토,15:15,매장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,2,5500,11000
OTW-260801-064,2026-08-01,토,15:19,포장,OTW-T01,옥수수 타르트,타르트,2,8500,17000
OTW-260801-064,2026-08-01,토,15:19,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-001,2026-08-02,일,12:08,매장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-002,2026-08-02,일,12:14,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-003,2026-08-02,일,12:19,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-003,2026-08-02,일,12:19,매장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-004,2026-08-02,일,12:23,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-004,2026-08-02,일,12:23,포장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260802-005,2026-08-02,일,12:24,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-005,2026-08-02,일,12:24,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-006,2026-08-02,일,12:25,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-007,2026-08-02,일,12:26,매장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260802-008,2026-08-02,일,12:26,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,2,6500,13000
OTW-260802-008,2026-08-02,일,12:26,포장,OTW-E04,피스타치오 에그타르트,에그타르트,1,5800,5800
OTW-260802-009,2026-08-02,일,12:29,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-009,2026-08-02,일,12:29,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-010,2026-08-02,일,12:30,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-011,2026-08-02,일,12:33,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-012,2026-08-02,일,12:42,포장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260802-013,2026-08-02,일,12:46,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-014,2026-08-02,일,12:49,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-015,2026-08-02,일,12:55,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-015,2026-08-02,일,12:55,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-015,2026-08-02,일,12:55,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-016,2026-08-02,일,12:55,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-016,2026-08-02,일,12:55,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-017,2026-08-02,일,12:56,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-018,2026-08-02,일,12:59,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-018,2026-08-02,일,12:59,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260802-019,2026-08-02,일,13:00,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-020,2026-08-02,일,13:01,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-020,2026-08-02,일,13:01,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-020,2026-08-02,일,13:01,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,2,5200,10400
OTW-260802-021,2026-08-02,일,13:02,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-021,2026-08-02,일,13:02,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-021,2026-08-02,일,13:02,매장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-022,2026-08-02,일,13:04,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-023,2026-08-02,일,13:11,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-024,2026-08-02,일,13:13,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,2,6500,13000
OTW-260802-024,2026-08-02,일,13:13,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-025,2026-08-02,일,13:15,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-025,2026-08-02,일,13:15,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-025,2026-08-02,일,13:15,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-026,2026-08-02,일,13:18,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-026,2026-08-02,일,13:18,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-027,2026-08-02,일,13:19,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-028,2026-08-02,일,13:21,포장,OTW-D01,옥수수 밀크티,음료,2,6500,13000
OTW-260802-028,2026-08-02,일,13:21,포장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260802-029,2026-08-02,일,13:22,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,2,4800,9600
OTW-260802-029,2026-08-02,일,13:22,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-030,2026-08-02,일,13:25,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,2,6500,13000
OTW-260802-030,2026-08-02,일,13:25,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-030,2026-08-02,일,13:25,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-031,2026-08-02,일,13:28,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260802-032,2026-08-02,일,13:32,매장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-033,2026-08-02,일,13:33,매장,OTW-E04,피스타치오 에그타르트,에그타르트,1,5800,5800
OTW-260802-034,2026-08-02,일,13:37,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,2,6500,13000
OTW-260802-035,2026-08-02,일,13:42,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-036,2026-08-02,일,13:50,매장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-037,2026-08-02,일,13:50,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-038,2026-08-02,일,13:51,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-038,2026-08-02,일,13:51,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-039,2026-08-02,일,13:56,매장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260802-039,2026-08-02,일,13:56,매장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-039,2026-08-02,일,13:56,매장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-040,2026-08-02,일,13:56,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-040,2026-08-02,일,13:56,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-041,2026-08-02,일,13:58,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-041,2026-08-02,일,13:58,포장,OTW-C01,오프더월 x 풀노리 옥수수 아이스크림,협업상품,1,6500,6500
OTW-260802-041,2026-08-02,일,13:58,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-042,2026-08-02,일,13:58,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,2,9600,19200
OTW-260802-042,2026-08-02,일,13:58,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-042,2026-08-02,일,13:58,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-043,2026-08-02,일,14:06,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-043,2026-08-02,일,14:06,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-043,2026-08-02,일,14:06,매장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260802-044,2026-08-02,일,14:11,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-045,2026-08-02,일,14:14,포장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-046,2026-08-02,일,14:15,매장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-047,2026-08-02,일,14:21,포장,OTW-T03,말차 타르트,타르트,2,9100,18200
OTW-260802-047,2026-08-02,일,14:21,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-048,2026-08-02,일,14:24,매장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260802-048,2026-08-02,일,14:24,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-049,2026-08-02,일,14:24,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-049,2026-08-02,일,14:24,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-049,2026-08-02,일,14:24,포장,OTW-E04,피스타치오 에그타르트,에그타르트,1,5800,5800
OTW-260802-050,2026-08-02,일,14:25,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-050,2026-08-02,일,14:25,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260802-051,2026-08-02,일,14:25,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-051,2026-08-02,일,14:25,매장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,2,5200,10400
OTW-260802-051,2026-08-02,일,14:25,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-052,2026-08-02,일,14:31,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-053,2026-08-02,일,14:33,포장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260802-054,2026-08-02,일,14:35,매장,OTW-P01,아이스크림 파르페,디저트,1,8500,8500
OTW-260802-055,2026-08-02,일,14:40,매장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-056,2026-08-02,일,14:44,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-057,2026-08-02,일,14:45,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,1,4800,4800
OTW-260802-057,2026-08-02,일,14:45,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,2,9600,19200
OTW-260802-058,2026-08-02,일,14:46,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-058,2026-08-02,일,14:46,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-059,2026-08-02,일,14:47,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-059,2026-08-02,일,14:47,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-060,2026-08-02,일,14:55,포장,OTW-T01,옥수수 타르트,타르트,2,8500,17000
OTW-260802-061,2026-08-02,일,15:03,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-061,2026-08-02,일,15:03,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-062,2026-08-02,일,15:03,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-062,2026-08-02,일,15:03,매장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-062,2026-08-02,일,15:03,매장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
OTW-260802-063,2026-08-02,일,15:05,매장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-063,2026-08-02,일,15:05,매장,OTW-P01,아이스크림 파르페,디저트,2,8500,17000
OTW-260802-064,2026-08-02,일,15:07,매장,OTW-E03,흑임자&산딸기 에그타르트,에그타르트,1,5500,5500
OTW-260802-064,2026-08-02,일,15:07,매장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260802-065,2026-08-02,일,15:09,포장,OTW-T01,옥수수 타르트,타르트,1,8500,8500
OTW-260802-065,2026-08-02,일,15:09,포장,OTW-T04,자몽 망고 요거트 타르트,타르트,2,9600,19200
OTW-260802-065,2026-08-02,일,15:09,포장,OTW-E02,강릉 감자&잠봉 에그타르트,에그타르트,1,5200,5200
OTW-260802-066,2026-08-02,일,15:09,매장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-067,2026-08-02,일,15:09,포장,OTW-D01,옥수수 밀크티,음료,2,6500,13000
OTW-260802-067,2026-08-02,일,15:09,포장,OTW-E04,피스타치오 에그타르트,에그타르트,1,5800,5800
OTW-260802-068,2026-08-02,일,15:09,매장,OTW-T02,보늬밤 타르트,타르트,1,8500,8500
OTW-260802-068,2026-08-02,일,15:09,매장,OTW-T04,자몽 망고 요거트 타르트,타르트,1,9600,9600
OTW-260802-068,2026-08-02,일,15:09,매장,OTW-T03,말차 타르트,타르트,1,9100,9100
OTW-260802-069,2026-08-02,일,15:12,포장,OTW-E01,강릉 옥수수 에그타르트,에그타르트,2,4800,9600
OTW-260802-069,2026-08-02,일,15:12,포장,OTW-D01,옥수수 밀크티,음료,1,6500,6500
