기준일,상품,잔액_억원,전일대비_억원,신규건수,신규금액_억원,재예치금액_억원,중도해지금액_억원,만기도래금액_억원
2026-07-13,세이프박스,122135.5,952.6,,,,,
2026-07-13,저금통,1450.0,-2.5,,,,,
2026-07-13,정기예금,183662.5,133.9,34101,402.4,295.5,128.9,435.1
2026-07-13,자유적금,24716.9,13.8,20000,42.0,22.3,14.9,35.6
2026-07-13,26주적금,7952.9,2.1,15222,13.7,9.1,5.8,14.9
2026-07-14,입출금통장,211443.0,-431.0,,,,,
2026-07-14,모임통장,37429.6,390.6,,,,,
2026-07-14,세이프박스,121909.1,-226.4,,,,,
2026-07-14,저금통,1463.5,13.5,,,,,
2026-07-14,정기예금,183810.1,147.6,37898,447.2,325.2,140.5,484.3
2026-07-14,자유적금,24733.6,16.7,19714,41.4,25.5,13.5,36.7
2026-07-14,26주적금,7960.1,7.2,17222,15.5,9.6,4.1,13.8
2026-07-15,입출금통장,211119.0,-324.0,,,,,
2026-07-15,모임통장,37449.7,20.1,,,,,
2026-07-15,세이프박스,121446.0,-463.1,,,,,
2026-07-15,저금통,1465.9,2.4,,,,,
2026-07-15,정기예금,183903.5,93.4,32652,385.3,241.2,133.4,399.7
2026-07-15,자유적금,24753.9,20.3,21857,45.9,29.5,12.8,42.3
2026-07-15,26주적금,7963.2,3.1,16666,15.0,9.8,5.4,16.3
2026-07-16,입출금통장,210830.4,-288.6,,,,,
2026-07-16,모임통장,37434.4,-15.3,,,,,
2026-07-16,세이프박스,120851.7,-594.3,,,,,
2026-07-16,저금통,1461.0,-4.9,,,,,
2026-07-16,정기예금,184045.1,141.6,38169,450.4,322.1,126.8,504.1
2026-07-16,자유적금,24769.9,16.0,20857,43.8,25.1,15.8,37.1
2026-07-16,26주적금,7974.0,10.8,21666,19.5,8.5,3.2,14.0
2026-07-17,입출금통장,210714.1,-116.3,,,,,
2026-07-17,모임통장,37034.0,-400.4,,,,,
2026-07-17,세이프박스,120680.2,-171.5,,,,,
2026-07-17,저금통,1460.6,-0.4,,,,,
2026-07-17,정기예금,184228.6,183.5,42542,502.0,274.1,179.4,413.2
2026-07-17,자유적금,24798.1,28.2,28380,59.6,26.2,15.9,41.7
2026-07-17,26주적금,7976.1,2.1,14555,13.1,9.6,5.1,15.5
2026-07-20,입출금통장,211487.4,773.3,,,,,
2026-07-20,모임통장,36813.4,-220.6,,,,,
2026-07-20,세이프박스,121013.1,332.9,,,,,
2026-07-20,저금통,1469.9,9.3,,,,,
2026-07-20,정기예금,184467.4,238.8,43144,509.1,229.4,132.9,366.8
2026-07-20,자유적금,24818.6,20.5,22857,48.0,23.8,16.1,35.2
2026-07-20,26주적금,7986.5,10.4,21444,19.3,10.1,3.8,15.2
2026-07-21,입출금통장,209839.4,-1648.0,,,,,
2026-07-21,모임통장,37133.1,319.7,,,,,
2026-07-21,세이프박스,121637.8,624.7,,,,,
2026-07-21,저금통,1469.9,-0.0,,,,,
2026-07-21,정기예금,184494.3,26.9,28364,334.7,235.0,183.0,359.8
2026-07-21,자유적금,24832.4,13.8,18857,39.6,22.0,13.7,34.1
2026-07-21,26주적금,7991.3,4.8,16222,14.6,8.7,4.9,13.6
2026-07-22,입출금통장,211053.8,1214.4,,,,,
2026-07-22,모임통장,36611.2,-521.9,,,,,
2026-07-22,세이프박스,121740.9,103.1,,,,,
2026-07-22,저금통,1476.8,6.9,,,,,
2026-07-22,정기예금,184561.8,67.5,29491,348.0,299.9,139.9,440.5
2026-07-22,자유적금,24857.0,24.6,24476,51.4,20.4,13.7,33.5
2026-07-22,26주적금,7999.8,8.5,20888,18.8,10.4,4.7,16.0
2026-07-23,입출금통장,212269.8,1216.0,,,,,
2026-07-23,모임통장,36666.8,55.6,,,,,
2026-07-23,세이프박스,121555.8,-185.1,,,,,
2026-07-23,저금통,1476.8,0.0,,,,,
2026-07-23,정기예금,184737.5,175.7,41940,494.9,277.6,140.9,455.9
2026-07-23,자유적금,24867.6,10.6,16047,33.7,27.3,10.8,39.6
2026-07-23,26주적금,8003.7,3.9,15222,13.7,10.6,4.3,16.1
2026-07-24,입출금통장,212058.9,-210.9,,,,,
2026-07-24,모임통장,36796.1,129.3,,,,,
2026-07-24,세이프박스,122215.5,659.7,,,,,
2026-07-24,저금통,1477.9,1.1,,,,,
2026-07-24,정기예금,184921.4,183.9,40610,479.2,265.3,140.5,420.1
2026-07-24,자유적금,24882.1,14.5,21476,45.1,27.0,14.7,42.9
2026-07-24,26주적금,8011.8,8.1,20111,18.1,9.1,4.9,14.2
2026-07-27,입출금통장,212970.4,911.5,,,,,
2026-07-27,모임통장,36575.8,-220.3,,,,,
2026-07-27,세이프박스,122523.9,308.4,,,,,
2026-07-27,저금통,1475.3,-2.6,,,,,
2026-07-27,정기예금,184964.5,43.1,27872,328.9,245.9,148.5,383.2
2026-07-27,자유적금,24899.1,17.0,23238,48.8,29.4,17.8,43.4
2026-07-27,26주적금,8025.6,13.8,24333,21.9,10.1,3.7,14.5
2026-07-28,입출금통장,213647.3,676.9,,,,,
2026-07-28,모임통장,36831.0,255.2,,,,,
2026-07-28,세이프박스,122379.1,-144.8,,,,,
2026-07-28,저금통,1482.8,7.5,,,,,
2026-07-28,정기예금,185097.2,132.7,33177,391.5,261.6,146.4,374.0
2026-07-28,자유적금,24892.5,-6.6,11523,24.2,30.5,12.5,48.8
2026-07-28,26주적금,8027.3,1.7,13000,11.7,7.9,5.9,12.0
2026-07-29,입출금통장,214088.1,440.8,,,,,
2026-07-29,모임통장,36846.4,15.4,,,,,
2026-07-29,세이프박스,122441.3,62.2,,,,,
2026-07-29,저금통,1484.0,1.2,,,,,
2026-07-29,정기예금,185372.4,275.2,44991,530.9,257.1,133.2,379.6
2026-07-29,자유적금,24910.3,17.8,23571,49.5,23.2,17.6,37.3
2026-07-29,26주적금,8036.0,8.7,22777,20.5,9.4,6.7,14.5
2026-07-30,입출금통장,214075.7,-12.4,,,,,
2026-07-30,모임통장,36447.7,-398.7,,,,,
2026-07-30,세이프박스,122906.6,465.3,,,,,
2026-07-30,저금통,1506.5,22.5,,,,,
2026-07-30,정기예금,185435.7,63.3,33016,389.6,272.9,160.7,438.5
2026-07-30,자유적금,24936.4,26.1,24904,52.3,24.9,12.3,38.8
2026-07-30,26주적금,8045.4,9.4,21444,19.3,7.7,5.7,11.9
2026-07-31,입출금통장,213726.3,-349.4,,,,,
2026-07-31,모임통장,36523.5,75.8,,,,,
2026-07-31,세이프박스,123630.4,723.8,,,,,
2026-07-31,저금통,1504.5,-2.0,,,,,
2026-07-31,정기예금,185488.2,52.5,33949,400.6,320.1,165.7,502.5
2026-07-31,자유적금,24946.8,10.4,17952,37.7,28.9,14.1,42.1
2026-07-31,26주적금,8051.4,6.0,18333,16.5,11.3,5.2,16.6
2026-08-03,입출금통장,213884.6,158.3,,,,,
2026-08-03,모임통장,35959.3,-564.2,,,,,
2026-08-03,세이프박스,123646.5,16.1,,,,,
2026-08-03,저금통,1493.2,-11.3,,,,,
2026-08-03,정기예금,185674.0,185.8,42872,505.9,293.4,150.2,463.3
2026-08-03,자유적금,24957.7,10.9,19285,40.5,25.5,14.2,40.9
2026-08-03,26주적금,8060.0,8.6,21333,19.2,12.3,5.2,17.7
2026-08-04,입출금통장,214871.4,986.8,,,,,
2026-08-04,모임통장,36102.9,143.6,,,,,
2026-08-04,세이프박스,123260.1,-386.4,,,,,
2026-08-04,저금통,1498.8,5.6,,,,,
2026-08-04,정기예금,185831.9,157.9,35457,418.4,266.1,109.7,416.9
2026-08-04,자유적금,24975.8,18.1,21190,44.5,22.1,14.9,33.6
2026-08-04,26주적금,8068.4,8.4,20222,18.2,10.5,5.1,15.2
2026-08-05,입출금통장,214811.3,-60.1,,,,,
2026-08-05,모임통장,35949.2,-153.7,,,,,
2026-08-05,세이프박스,123308.8,48.7,,,,,
2026-08-05,저금통,1506.1,7.3,,,,,
2026-08-05,정기예금,185936.6,104.7,36016,425.0,263.0,156.1,427.2
2026-08-05,자유적금,24987.7,11.9,16952,35.6,29.3,11.0,42.0
2026-08-05,26주적금,8072.8,4.4,15555,14.0,10.0,3.3,16.3
2026-08-06,입출금통장,215867.0,1055.7,,,,,
2026-08-06,모임통장,35687.3,-261.9,,,,,
2026-08-06,세이프박스,124478.0,1169.2,,,,,
2026-08-06,저금통,1500.4,-5.7,,,,,
2026-08-06,정기예금,186253.6,317.0,50847,600.0,291.7,115.2,459.5
2026-08-06,자유적금,25005.3,17.6,20380,42.8,19.3,14.4,30.1
2026-08-06,26주적금,8083.3,10.5,20444,18.4,8.5,3.6,12.8
2026-08-07,입출금통장,216634.1,767.1,,,,,
2026-08-07,모임통장,35230.8,-456.5,,,,,
2026-08-07,세이프박스,124267.1,-210.9,,,,,
2026-08-07,저금통,1486.6,-13.8,,,,,
2026-08-07,정기예금,186440.0,186.4,41262,486.9,287.3,168.8,419.0
2026-08-07,자유적금,25025.5,20.2,22142,46.5,25.5,14.8,37.0
2026-08-07,26주적금,8091.6,8.3,20333,18.3,10.0,5.0,15.0
2026-08-10,입출금통장,216298.1,-336.0,,,,,
2026-08-10,모임통장,35399.8,169.0,,,,,
2026-08-10,세이프박스,124587.6,320.5,,,,,
2026-08-10,저금통,1486.5,-0.1,,,,,
2026-08-10,정기예금,186601.4,161.4,43330,511.3,320.6,196.1,474.4
2026-08-10,자유적금,25043.9,18.4,19761,41.5,20.2,11.2,32.1
2026-08-10,26주적금,8105.5,13.9,24888,22.4,10.1,3.6,15.0
2026-08-11,입출금통장,214749.9,-1548.2,,,,,
2026-08-11,모임통장,35829.1,429.3,,,,,
2026-08-11,세이프박스,124035.3,-552.3,,,,,
2026-08-11,저금통,1497.6,11.1,,,,,
2026-08-11,정기예금,186753.6,152.2,38177,450.5,350.7,139.0,510.0
2026-08-11,자유적금,25058.4,14.5,18000,37.8,16.8,13.6,26.5
2026-08-11,26주적금,8114.8,9.3,21222,19.1,9.0,5.4,13.4
2026-08-12,입출금통장,214445.9,-304.0,,,,,
2026-08-12,모임통장,35898.0,68.9,,,,,
2026-08-12,세이프박스,124295.3,260.0,,,,,
2026-08-12,저금통,1501.9,4.3,,,,,
2026-08-12,정기예금,186895.7,142.1,36440,430.0,232.5,172.7,347.7
2026-08-12,자유적금,25074.9,16.5,21238,44.6,24.6,13.9,38.8
2026-08-12,26주적금,8128.2,13.4,24333,21.9,7.8,5.0,11.3
2026-08-13,입출금통장,213195.0,-1250.9,,,,,
2026-08-13,모임통장,35858.5,-39.5,,,,,
2026-08-13,세이프박스,125042.0,746.7,,,,,
2026-08-13,저금통,1501.5,-0.4,,,,,
2026-08-13,정기예금,187165.2,269.5,47457,560.0,306.9,124.2,473.2
2026-08-13,자유적금,25098.8,23.9,22142,46.5,25.1,10.7,37.0
2026-08-13,26주적금,8129.9,1.7,13555,12.2,9.8,5.0,15.3
2026-08-14,입출금통장,212559.8,-635.2,,,,,
2026-08-14,모임통장,35304.7,-553.8,,,,,
2026-08-14,세이프박스,125570.5,528.5,,,,,
2026-08-14,저금통,1498.0,-3.5,,,,,
2026-08-14,정기예금,187223.5,58.3,30033,354.4,253.8,180.2,369.7
2026-08-14,자유적금,25118.9,20.1,23380,49.1,25.0,13.8,40.2
2026-08-14,26주적금,8139.1,9.2,21888,19.7,9.6,5.8,14.3
2026-08-18,입출금통장,212496.8,-63.0,,,,,
2026-08-18,모임통장,34988.3,-316.4,,,,,
2026-08-18,세이프박스,125421.1,-149.4,,,,,
2026-08-18,저금통,1504.3,6.3,,,,,
2026-08-18,정기예금,187484.7,261.2,48008,566.5,332.9,161.6,476.6
2026-08-18,자유적금,25145.6,26.7,26333,55.3,26.1,13.7,41.0
2026-08-18,26주적금,8146.2,7.1,19555,17.6,10.8,5.9,15.4
2026-08-19,입출금통장,210904.5,-1592.3,,,,,
2026-08-19,모임통장,35221.4,233.1,,,,,
2026-08-19,세이프박스,124741.1,-680.0,,,,,
2026-08-19,저금통,1501.4,-2.9,,,,,
2026-08-19,정기예금,187772.0,287.3,47610,561.8,276.8,150.4,400.9
2026-08-19,자유적금,25167.2,21.6,19523,41.0,24.0,8.2,35.2
2026-08-19,26주적금,8148.5,2.3,12666,11.4,9.8,4.6,14.3
2026-08-20,입출금통장,208653.3,-2251.2,,,,,
2026-08-20,모임통장,35555.0,333.6,,,,,
2026-08-20,세이프박스,125687.4,946.3,,,,,
2026-08-20,저금통,1516.2,14.8,,,,,
2026-08-20,정기예금,188073.0,301.0,52652,621.3,279.7,169.1,430.9
2026-08-20,자유적금,25201.5,34.3,27714,58.2,20.1,12.6,31.4
2026-08-20,26주적금,8155.1,6.6,19111,17.2,7.8,5.8,12.6
2026-08-21,입출금통장,208966.2,312.9,,,,,
2026-08-21,모임통장,35752.1,197.1,,,,,
2026-08-21,세이프박스,125455.4,-232.0,,,,,
2026-08-21,저금통,1527.8,11.6,,,,,
2026-08-21,정기예금,188437.5,364.5,52720,622.1,244.2,123.8,378.0
2026-08-21,자유적금,25220.5,19.0,21904,46.0,24.3,11.0,40.3
2026-08-21,26주적금,8161.3,6.2,18666,16.8,10.2,4.0,16.8
2026-08-24,입출금통장,209600.8,634.6,,,,,
2026-08-24,모임통장,35918.6,166.5,,,,,
2026-08-24,세이프박스,126091.6,636.2,,,,,
2026-08-24,저금통,1533.9,6.1,,,,,
2026-08-24,정기예금,188449.8,12.3,29669,350.1,363.7,151.2,550.3
2026-08-24,자유적금,25253.1,32.6,27142,57.0,24.3,10.4,38.3
2026-08-24,26주적금,8165.9,4.6,16333,14.7,8.4,5.3,13.2
2026-08-25,입출금통장,207372.1,-2228.7,,,,,
2026-08-25,모임통장,36310.2,391.6,,,,,
2026-08-25,세이프박스,127371.3,1279.7,,,,,
2026-08-25,저금통,1530.8,-3.1,,,,,
2026-08-25,정기예금,188735.6,285.8,50762,599.0,264.5,145.8,431.9
2026-08-25,자유적금,25272.5,19.4,20809,43.7,19.2,14.1,29.4
2026-08-25,26주적금,8171.4,5.5,18444,16.6,11.3,4.9,17.5
2026-08-26,입출금통장,208166.5,794.4,,,,,
2026-08-26,모임통장,35840.4,-469.8,,,,,
2026-08-26,세이프박스,127886.4,515.1,,,,,
2026-08-26,저금통,1542.4,11.6,,,,,
2026-08-26,정기예금,188935.5,199.9,39466,465.7,217.5,141.1,342.2
2026-08-26,자유적금,25293.4,20.9,19666,41.3,21.9,9.6,32.7
2026-08-26,26주적금,8176.3,4.9,17444,15.7,8.4,5.8,13.4
2026-08-27,입출금통장,209748.4,1581.9,,,,,
2026-08-27,모임통장,36194.4,354.0,,,,,
2026-08-27,세이프박스,128523.1,636.7,,,,,
2026-08-27,저금통,1537.9,-4.5,,,,,
2026-08-27,정기예금,188973.4,37.9,26228,309.5,204.8,152.9,323.5
2026-08-27,자유적금,25310.7,17.3,21571,45.3,28.1,13.7,42.4
2026-08-27,26주적금,8185.0,8.7,20111,18.1,9.3,5.2,13.5
2026-08-28,입출금통장,208852.7,-895.7,,,,,
2026-08-28,모임통장,36002.9,-191.5,,,,,
2026-08-28,세이프박스,127857.0,-666.1,,,,,
2026-08-28,저금통,1533.7,-4.2,,,,,
2026-08-28,정기예금,189113.1,139.7,37084,437.6,298.2,159.4,436.7
2026-08-28,자유적금,25314.9,4.2,17238,36.2,30.0,15.4,46.6
2026-08-28,26주적금,8192.0,7.0,19444,17.5,10.8,4.8,16.5
2026-08-31,입출금통장,208280.9,-571.8,,,,,
2026-08-31,모임통장,36084.6,81.7,,,,,
2026-08-31,세이프박스,128700.5,843.5,,,,,
2026-08-31,저금통,1533.9,0.2,,,,,
2026-08-31,정기예금,189373.1,260.0,49042,578.7,278.7,186.8,410.6
2026-08-31,자유적금,25322.5,7.6,15619,32.8,28.3,12.4,41.1
2026-08-31,26주적금,8199.3,7.3,20111,18.1,9.7,6.2,14.3
2026-09-01,입출금통장,207876.1,-404.8,,,,,
2026-09-01,모임통장,36344.4,259.8,,,,,
2026-09-01,세이프박스,128982.6,282.1,,,,,
2026-09-01,저금통,1523.5,-10.4,,,,,
2026-09-01,정기예금,189313.2,-59.9,22423,264.6,225.5,188.2,361.8
2026-09-01,자유적금,25358.3,35.8,28190,59.2,20.4,9.9,33.9
2026-09-01,26주적금,8204.8,5.5,16555,14.9,6.9,5.0,11.3
2026-09-02,입출금통장,208145.7,269.6,,,,,
2026-09-02,모임통장,36113.1,-231.3,,,,,
2026-09-02,세이프박스,129371.7,389.1,,,,,
2026-09-02,저금통,1521.0,-2.5,,,,,
2026-09-02,정기예금,189424.4,111.2,35271,416.2,285.0,122.9,467.1
2026-09-02,자유적금,25358.6,0.3,15857,33.3,27.9,17.0,43.9
2026-09-02,26주적금,8215.9,11.1,24111,21.7,9.5,4.9,15.2
2026-09-03,입출금통장,207590.3,-555.4,,,,,
2026-09-03,모임통장,35928.2,-184.9,,,,,
2026-09-03,세이프박스,129079.9,-291.8,,,,,
2026-09-03,저금통,1528.9,7.9,,,,,
2026-09-03,정기예금,189590.8,166.4,41567,490.5,293.1,152.9,464.3
2026-09-03,자유적금,25375.2,16.6,21190,44.5,27.9,14.3,41.5
2026-09-03,26주적금,8224.8,8.9,20555,18.5,9.5,3.8,15.3
2026-09-04,입출금통장,207554.7,-35.6,,,,,
2026-09-04,모임통장,36580.7,652.5,,,,,
2026-09-04,세이프박스,129075.8,-4.1,,,,,
2026-09-04,저금통,1525.8,-3.1,,,,,
2026-09-04,정기예금,189906.3,315.5,53381,629.9,302.0,122.0,494.4
2026-09-04,자유적금,25405.4,30.2,29523,62.0,29.8,16.0,45.6
2026-09-04,26주적금,8236.4,11.6,23000,20.7,9.8,4.6,14.3
2026-09-07,입출금통장,206376.3,-1178.4,,,,,
2026-09-07,모임통장,36454.3,-126.4,,,,,
2026-09-07,세이프박스,128879.5,-196.3,,,,,
2026-09-07,저금통,1530.6,4.8,,,,,
2026-09-07,정기예금,190110.5,204.2,41796,493.2,245.3,143.2,391.1
2026-09-07,자유적금,25422.6,17.2,19809,41.6,27.1,12.7,38.8
2026-09-07,26주적금,8239.6,3.2,16222,14.6,10.5,5.3,16.6
2026-09-08,입출금통장,205066.9,-1309.4,,,,,
2026-09-08,모임통장,36446.4,-7.9,,,,,
2026-09-08,세이프박스,128283.5,-596.0,,,,,
2026-09-08,저금통,1534.2,3.6,,,,,
2026-09-08,정기예금,190285.8,175.3,37991,448.3,208.8,173.2,308.6
2026-09-08,자유적금,25432.7,10.1,20142,42.3,24.1,17.1,39.2
2026-09-08,26주적금,8249.0,9.4,22333,20.1,9.5,5.6,14.6
2026-09-09,입출금통장,203444.5,-1622.4,,,,,
2026-09-09,모임통장,36458.6,12.2,,,,,
2026-09-09,세이프박스,127674.4,-609.1,,,,,
2026-09-09,저금통,1542.6,8.4,,,,,
2026-09-09,정기예금,190580.9,295.1,49533,584.5,218.2,164.6,343.0
2026-09-09,자유적금,25452.6,19.9,20952,44.0,28.3,11.4,41.0
2026-09-09,26주적금,8250.7,1.7,14666,13.2,7.9,6.3,13.1
2026-09-10,입출금통장,202780.4,-664.1,,,,,
2026-09-10,모임통장,36711.1,252.5,,,,,
2026-09-10,세이프박스,127343.8,-330.6,,,,,
2026-09-10,저금통,1548.1,5.5,,,,,
2026-09-10,정기예금,190591.2,10.3,27067,319.4,240.0,161.1,388.0
2026-09-10,자유적금,25453.6,1.0,14333,30.1,25.5,14.8,39.8
2026-09-10,26주적금,8257.4,6.7,20111,18.1,9.4,6.6,14.2
2026-09-11,입출금통장,202641.5,-138.9,,,,,
2026-09-11,모임통장,37073.0,361.9,,,,,
2026-09-11,세이프박스,127161.1,-182.7,,,,,
2026-09-11,저금통,1553.6,5.5,,,,,
2026-09-11,정기예금,190895.8,304.6,50593,597.0,265.3,139.2,418.5
2026-09-11,자유적금,25467.0,13.4,19142,40.2,23.9,12.8,37.9
2026-09-11,26주적금,8271.2,13.8,27444,24.7,9.2,5.5,14.6
2026-09-14,입출금통장,202259.9,-381.6,,,,,
2026-09-14,모임통장,37209.1,136.1,,,,,
2026-09-14,세이프박스,126161.5,-999.6,,,,,
2026-09-14,저금통,1551.5,-2.1,,,,,
2026-09-14,정기예금,191172.5,276.7,43940,518.5,298.2,108.6,431.4
2026-09-14,자유적금,25474.7,7.7,15714,33.0,20.2,13.1,32.4
2026-09-14,26주적금,8279.2,8.0,21222,19.1,11.8,5.5,17.4
2026-09-15,입출금통장,202281.2,21.3,,,,,
2026-09-15,모임통장,37017.2,-191.9,,,,,
2026-09-15,세이프박스,126457.0,295.5,,,,,
2026-09-15,저금통,1550.4,-1.1,,,,,
2026-09-15,정기예금,191378.4,205.9,41347,487.9,268.9,150.6,400.3
2026-09-15,자유적금,25501.8,27.1,25761,54.1,22.7,13.2,36.5
2026-09-15,26주적금,8282.4,3.2,18111,16.3,12.7,6.9,18.9
2026-09-16,입출금통장,202283.7,2.5,,,,,
2026-09-16,모임통장,37193.6,176.4,,,,,
2026-09-16,세이프박스,126228.1,-228.9,,,,,
2026-09-16,저금통,1555.9,5.5,,,,,
2026-09-16,정기예금,191492.5,114.1,33203,391.8,307.6,107.6,477.7
2026-09-16,자유적금,25522.5,20.7,23619,49.6,29.6,11.6,46.9
2026-09-16,26주적금,8286.7,4.3,15222,13.7,8.9,5.3,13.0
2026-09-17,입출금통장,203693.3,1409.6,,,,,
2026-09-17,모임통장,37015.4,-178.2,,,,,
2026-09-17,세이프박스,125798.8,-429.3,,,,,
2026-09-17,저금통,1555.5,-0.4,,,,,
2026-09-17,정기예금,191604.6,112.1,39237,463.0,321.2,181.8,490.3
2026-09-17,자유적금,25539.3,16.8,20571,43.2,22.2,16.7,31.9
2026-09-17,26주적금,8292.7,6.0,16888,15.2,7.6,4.2,12.6
2026-09-18,입출금통장,204000.1,306.8,,,,,
2026-09-18,모임통장,37450.4,435.0,,,,,
2026-09-18,세이프박스,126582.2,783.4,,,,,
2026-09-18,저금통,1557.7,2.2,,,,,
2026-09-18,정기예금,190073.3,-1531.3,32347,381.7,1037.9,302.6,2648.3
2026-09-18,자유적금,25551.6,12.3,17285,36.3,24.9,8.4,40.5
2026-09-18,26주적금,8305.5,12.8,24555,22.1,7.1,5.6,10.8
